Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,172.79,174.18,171.13,173.63,173.63,957500
2019-04-02,173.54,173.94,170.93,173.34,173.34,670600
2019-04-03,174.08,174.8,171.42,171.69,171.69,847200
2019-04-04,172.14,174.41,171.58,174.0,174.0,1213800
2019-04-05,174.31,176.83,174.31,176.78,176.78,741300
2019-04-08,175.78,178.04,173.83,177.59,177.59,830300
2019-04-09,176.9,177.72,175.33,175.65,175.65,616200
2019-04-10,176.7,178.86,174.25,178.8,178.8,1079500
2019-04-11,178.65,181.02,177.89,180.96,180.96,705300
2019-04-12,180.96,181.8,179.74,180.11,180.11,922600
