Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,80.04,80.25,79.0,79.09,79.09,1413000
2019-04-02,76.88,77.05,74.41,74.49,74.49,2275800
2019-04-03,75.07,76.26,74.13,75.05,75.05,1977300
2019-04-04,75.27,76.12,74.28,75.97,75.97,1523100
2019-04-05,76.37,78.17,76.16,77.27,77.27,1383900
2019-04-08,77.1,78.39,76.5,78.12,78.12,1717300
2019-04-09,77.72,78.04,76.5,77.43,77.43,957100
2019-04-10,75.35,75.45,72.15,74.0,74.0,3073600
2019-04-11,74.51,75.27,73.46,74.18,74.18,1603600
2019-04-12,74.58,76.24,74.48,74.74,74.74,1552800
