Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,175.5,176.52,174.79,176.32,174.87,2977900
2019-04-02,175.83,176.55,174.56,175.37,173.93,1923600
2019-04-03,175.9,177.39,175.48,177.19,175.73,2481800
2019-04-04,177.19,177.44,175.86,177.16,175.7,2270200
2019-04-05,177.44,178.42,177.04,178.15,176.69,1861500
2019-04-08,177.67,179.08,177.37,178.91,177.44,1373300
2019-04-09,177.75,178.47,177.28,177.73,176.27,1813900
2019-04-10,176.8,177.75,176.1,177.0,177.0,1582600
2019-04-11,177.18,178.47,176.9,178.36,178.36,1417200
2019-04-12,178.5,179.36,177.8,178.64,178.64,2663400
