Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,269.85,272.39,268.19,272.17,272.17,2970100
2019-04-02,272.89,273.0,267.63,271.35,271.35,1877800
2019-04-03,273.71,274.18,270.98,271.5,271.5,2432800
2019-04-04,270.98,271.47,263.72,267.89,267.89,2947400
2019-04-05,269.44,269.94,266.59,267.45,267.45,1970500
2019-04-08,266.96,269.09,264.7,268.81,268.81,1796800
2019-04-09,267.12,269.99,266.8,268.99,268.99,1605900
2019-04-10,269.47,272.16,269.01,271.58,271.58,1469700
2019-04-11,271.95,272.92,270.77,271.9,271.9,2085600
2019-04-12,273.01,273.51,270.82,271.86,271.86,1681100
