Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,106.52,108.62,106.26,108.28,108.28,3445800
2019-04-02,108.13,108.49,107.41,108.11,108.11,1684200
2019-04-03,109.62,111.06,109.16,109.84,109.84,2739500
2019-04-04,109.76,110.96,109.14,110.54,110.54,2435700
2019-04-05,111.09,111.8,110.55,111.46,111.46,2529000
2019-04-08,110.75,111.83,110.36,111.74,111.74,2237900
2019-04-09,111.5,111.73,110.08,110.49,110.49,1856900
2019-04-10,110.4,112.12,109.95,112.07,112.07,1966700
2019-04-11,112.37,112.68,111.17,111.82,111.82,1784900
2019-04-12,112.82,114.29,112.14,114.21,114.21,1984200
