Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,161.2,162.32,159.98,162.07,162.07,2489500
2019-04-02,162.54,162.71,160.83,161.44,161.44,987800
2019-04-03,162.45,162.45,160.49,161.1,161.1,1374700
2019-04-04,161.37,161.37,158.18,159.34,159.34,1682400
2019-04-05,160.07,160.42,159.15,160.34,160.34,1497800
2019-04-08,159.95,160.6,158.89,160.46,160.46,952100
2019-04-09,159.83,160.66,159.13,159.68,159.68,1238600
2019-04-10,160.13,160.82,159.67,160.42,160.42,998900
2019-04-11,161.03,161.76,160.42,161.67,161.67,1526000
2019-04-12,162.16,163.38,160.94,163.31,163.31,1014300
