Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,176.07,179.4,175.5,176.12,176.12,986700
2019-04-02,176.94,177.9,175.06,175.53,175.53,500900
2019-04-03,177.18,179.66,175.76,179.48,179.48,529700
2019-04-04,179.53,181.16,178.3,179.83,179.83,318300
2019-04-05,180.58,182.5,176.27,177.11,177.11,809100
2019-04-08,176.75,178.47,173.93,178.35,178.35,526200
2019-04-09,177.5,177.78,175.79,177.21,177.21,406100
2019-04-10,177.66,177.97,174.88,176.47,176.47,540800
2019-04-11,177.12,177.48,175.27,175.74,175.74,329300
2019-04-12,177.04,182.95,177.04,180.93,180.93,685600
