Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,50.31,50.46,49.77,49.88,49.88,4066200
2019-04-02,49.78,49.84,49.23,49.25,49.25,3630100
2019-04-03,49.55,49.55,48.29,48.76,48.76,5489300
2019-04-04,48.85,49.05,48.66,48.78,48.78,2525200
2019-04-05,48.97,49.06,48.82,49.0,49.0,3149900
2019-04-08,49.12,49.27,48.91,49.12,49.12,3303600
2019-04-09,49.06,49.2,48.83,49.04,49.04,3082000
2019-04-10,48.93,49.25,48.8,49.21,49.21,2493300
2019-04-11,49.36,49.56,49.15,49.37,49.37,3147200
2019-04-12,49.79,49.8,49.07,49.51,49.51,3611500
