Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,147.54,147.8,144.9,147.65,147.65,1892400
2019-04-02,148.0,148.95,146.2,146.26,146.26,1262300
2019-04-03,146.7,146.99,145.25,145.71,145.71,2236400
2019-04-04,146.5,149.85,146.39,149.35,149.35,2302300
2019-04-05,150.0,151.36,149.45,149.64,149.64,1641100
2019-04-08,150.16,150.76,149.37,150.49,150.49,1180200
2019-04-09,149.8,149.99,147.11,147.44,147.44,1224300
2019-04-10,147.5,147.93,145.1,146.1,146.1,1545500
2019-04-11,146.19,147.0,144.17,145.04,145.04,1693600
2019-04-12,145.73,146.77,144.36,144.95,144.95,1632600
