Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,43.52,44.28,43.46,43.99,43.99,3715100
2019-04-02,43.96,44.33,43.34,43.55,43.55,3424000
2019-04-03,43.94,44.17,43.69,43.87,43.87,3490300
2019-04-04,43.89,44.71,43.82,44.6,44.6,3753400
2019-04-05,44.7,45.3,44.66,45.05,45.05,4063900
2019-04-08,44.97,45.15,44.62,44.87,44.87,2147000
2019-04-09,44.59,44.73,44.1,44.63,44.63,3397000
2019-04-10,44.57,45.01,44.23,44.88,44.88,1904100
2019-04-11,45.39,45.82,45.08,45.71,45.71,4330300
2019-04-12,46.0,46.95,45.97,46.19,46.19,4937300
