Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,50.29,50.34,49.63,50.23,50.23,809800
2019-04-02,50.31,50.93,49.95,50.83,50.83,1146000
2019-04-03,50.81,51.1,50.39,50.93,50.93,1154500
2019-04-04,50.97,50.97,50.32,50.53,50.53,667000
2019-04-05,50.49,50.84,50.36,50.77,50.77,608200
2019-04-08,50.84,50.87,50.36,50.65,50.65,656100
2019-04-09,50.65,50.71,50.37,50.47,50.47,827600
2019-04-10,50.71,51.03,50.58,50.82,50.82,1620200
2019-04-11,50.8,51.15,50.46,50.71,50.71,1365200
2019-04-12,50.65,51.08,50.29,51.02,51.02,1134900
