Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,78.75,79.11,78.36,79.03,79.03,1019400
2019-04-02,79.15,79.31,78.57,78.57,78.57,649000
2019-04-03,78.97,78.97,78.17,78.37,78.37,794800
2019-04-04,78.56,78.78,78.12,78.67,78.67,687300
2019-04-05,78.63,78.8,78.09,78.3,78.3,1124300
2019-04-08,78.28,78.32,77.83,77.96,77.96,847800
2019-04-09,77.77,78.04,77.58,77.98,77.98,1812500
2019-04-10,78.07,78.62,77.98,78.6,78.6,872300
2019-04-11,78.63,79.8,78.63,79.67,79.67,1329900
2019-04-12,80.15,80.74,80.01,80.52,80.52,909000
