Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,287.44,290.89,281.52,285.15,285.15,966500
2019-04-02,285.75,292.69,284.1,292.03,292.03,907600
2019-04-03,293.44,296.0,288.62,289.27,289.27,1270600
2019-04-04,289.92,291.11,283.19,287.96,287.96,550400
2019-04-05,291.0,301.09,291.0,295.88,295.88,1386200
2019-04-08,295.55,295.7,289.75,292.71,292.71,752400
2019-04-09,290.0,290.0,283.01,285.25,285.25,1086600
2019-04-10,286.39,291.82,286.29,290.12,290.12,831200
2019-04-11,290.92,292.2,286.68,289.66,289.66,498400
2019-04-12,290.62,297.87,290.62,293.08,293.08,746500
