Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,56.3,57.89,56.11,57.32,57.32,1950700
2019-04-02,58.19,58.52,57.12,58.14,58.14,1563400
2019-04-03,58.64,59.06,57.72,57.79,57.79,1923000
2019-04-04,57.94,58.39,57.13,57.82,57.82,1055800
2019-04-05,57.99,58.85,57.99,58.54,58.54,1010800
2019-04-08,58.19,58.63,57.82,58.33,58.33,988700
2019-04-09,58.01,58.31,57.54,57.84,57.84,1026700
2019-04-10,58.66,59.04,57.72,58.78,58.78,1838400
2019-04-11,58.92,60.57,58.86,59.71,59.71,2174200
2019-04-12,60.39,61.09,59.77,60.63,60.63,1988600
