Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,136.58,137.62,135.2,135.32,135.32,869900
2019-04-02,135.58,139.65,135.09,138.92,138.92,1516300
2019-04-03,139.66,140.18,138.37,139.99,139.99,1699700
2019-04-04,140.07,141.8,139.01,139.93,139.93,1189300
2019-04-05,139.97,141.65,139.66,141.2,141.2,1208300
2019-04-08,141.21,141.21,138.58,139.75,139.75,929000
2019-04-09,139.17,140.35,137.21,137.65,137.65,992100
2019-04-10,138.02,141.86,137.35,141.3,141.3,1148900
2019-04-11,141.38,141.59,137.24,137.42,137.42,947500
2019-04-12,138.4,139.39,135.83,136.2,136.2,990500
