Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,129.59,132.89,129.58,132.68,132.68,961900
2019-04-02,136.5,138.08,135.19,136.12,136.12,1578200
2019-04-03,137.63,138.49,135.88,136.56,136.56,833400
2019-04-04,136.58,138.27,136.58,137.28,137.28,440600
2019-04-05,137.98,138.67,137.1,137.94,137.94,662400
2019-04-08,137.65,138.59,136.84,138.54,138.54,500000
2019-04-09,137.92,138.05,135.82,136.47,136.47,584500
2019-04-10,136.95,138.92,136.29,138.54,138.54,544300
2019-04-11,139.16,140.71,138.94,139.65,139.65,512800
2019-04-12,141.91,144.09,141.05,142.54,142.54,885400
