Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,197.54,198.19,192.16,192.51,191.63,4105700
2019-04-02,193.0,195.8,192.11,195.12,194.23,2762400
2019-04-03,195.06,195.92,192.49,194.29,193.4,2230300
2019-04-04,194.94,195.06,192.65,193.05,192.17,1684000
2019-04-05,193.26,195.98,192.31,195.76,194.86,1656500
2019-04-08,195.07,196.47,194.19,196.22,195.32,2166500
2019-04-09,196.14,197.13,195.95,196.72,195.82,1708200
2019-04-10,196.46,197.27,196.0,196.62,196.62,1304500
2019-04-11,197.12,197.19,195.44,196.65,196.65,1027100
2019-04-12,196.64,198.06,194.8,197.96,197.96,1412300
