Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,1800.11,1815.67,1798.73,1814.19,1814.19,4238800
2019-04-02,1811.02,1820.0,1805.12,1813.98,1813.98,3448100
2019-04-03,1826.72,1830.0,1809.62,1820.7,1820.7,3980600
2019-04-04,1820.65,1828.75,1804.2,1818.86,1818.86,3623900
2019-04-05,1829.0,1838.58,1825.19,1837.28,1837.28,3640500
2019-04-08,1833.23,1850.2,1825.11,1849.86,1849.86,3752800
2019-04-09,1845.49,1853.09,1831.78,1835.84,1835.84,3714400
2019-04-10,1841.0,1848.0,1828.81,1847.33,1847.33,2964000
2019-04-11,1848.7,1849.95,1840.31,1844.07,1844.07,2654800
2019-04-12,1848.4,1851.5,1841.3,1843.06,1843.06,3114400
