Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,289.8,290.52,284.57,288.33,288.33,1347400
2019-04-02,289.43,289.69,285.39,288.2,288.2,1163200
2019-04-03,289.73,291.0,285.74,287.66,287.66,1015300
2019-04-04,288.33,292.08,287.33,291.2,291.2,760600
2019-04-05,291.22,293.56,289.21,293.31,293.31,1072900
2019-04-08,293.14,293.65,288.92,289.5,289.5,997800
2019-04-09,288.25,291.29,286.72,290.1,290.1,1095300
2019-04-10,290.42,291.19,286.36,288.04,288.04,1008200
2019-04-11,289.7,290.94,275.35,276.29,276.29,2381000
2019-04-12,276.89,276.89,249.15,252.85,252.85,7352000
