Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,171.72,173.58,171.29,173.44,173.44,1035000
2019-04-02,174.1,175.26,172.89,173.14,173.14,836700
2019-04-03,173.77,173.98,171.83,172.74,172.74,1072300
2019-04-04,173.06,173.6,171.6,172.54,172.54,537600
2019-04-05,172.5,173.52,171.94,172.59,172.59,672700
2019-04-08,172.2,172.87,171.62,172.79,172.79,430500
2019-04-09,171.86,172.34,171.39,172.0,172.0,731000
2019-04-10,172.21,173.03,171.95,172.84,172.84,390100
2019-04-11,172.82,174.21,171.89,173.89,173.89,939300
2019-04-12,175.21,176.3,174.65,176.12,176.12,724200
