Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,35.03,35.18,34.59,34.97,34.97,3325500
2019-04-02,35.0,35.13,34.27,34.28,34.28,2819500
2019-04-03,34.42,34.65,33.02,33.06,33.06,5193600
2019-04-04,33.06,33.49,31.98,33.37,33.37,5901800
2019-04-05,33.68,35.63,33.6,35.57,35.57,5549200
2019-04-08,35.69,36.05,35.42,35.56,35.56,3383400
2019-04-09,35.34,35.51,34.78,34.88,34.88,2700400
2019-04-10,34.97,35.8,34.74,35.72,35.72,3149000
2019-04-11,35.4,35.97,34.99,35.64,35.64,3060500
2019-04-12,37.37,38.12,36.18,36.5,36.5,6469000
