Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,192.15,192.92,190.39,191.49,191.49,1134700
2019-04-02,191.3,191.7,189.15,190.48,190.48,1198700
2019-04-03,191.86,192.94,190.33,191.72,191.72,1080800
2019-04-04,192.19,192.87,190.42,191.77,191.77,852200
2019-04-05,192.25,193.6,191.62,193.19,193.19,769200
2019-04-08,193.55,194.3,192.19,193.03,193.03,844100
2019-04-09,191.93,192.92,191.09,192.28,192.28,600100
2019-04-10,192.88,193.19,192.15,193.04,193.04,594300
2019-04-11,192.49,193.95,191.48,193.55,193.55,765800
2019-04-12,194.44,195.36,193.74,194.16,194.16,1349200
