Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,95.67,97.92,95.33,97.81,97.81,1784200
2019-04-02,98.0,99.88,98.0,99.76,99.76,2139800
2019-04-03,100.0,101.28,100.0,100.92,100.92,1771100
2019-04-04,100.92,102.54,100.79,101.71,101.71,1463500
2019-04-05,102.07,102.71,101.89,102.7,102.7,1007600
2019-04-08,102.53,102.81,101.68,102.79,102.79,759400
2019-04-09,102.26,102.43,101.26,101.43,101.43,798500
2019-04-10,101.59,101.89,101.18,101.87,101.87,606400
2019-04-11,102.0,102.97,101.33,102.92,102.92,686800
2019-04-12,103.02,103.84,103.02,103.79,103.79,541300
