Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,80.68,82.67,80.39,82.58,82.58,1298100
2019-04-02,82.6,83.08,82.04,82.93,82.93,1158900
2019-04-03,84.16,85.8,84.14,84.98,84.98,1466300
2019-04-04,85.12,86.75,84.97,86.44,86.44,1006400
2019-04-05,86.55,87.25,86.38,86.94,86.94,901400
2019-04-08,87.0,88.62,86.9,88.49,88.49,1373300
2019-04-09,87.36,87.72,86.73,87.51,87.51,1503300
2019-04-10,87.31,88.63,87.05,88.56,88.56,778500
2019-04-11,88.55,89.15,87.94,89.08,89.08,861800
2019-04-12,89.99,91.22,89.81,90.79,90.79,1377700
