Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,142.63,143.01,140.52,141.54,141.54,845200
2019-04-02,141.86,143.41,140.4,143.23,143.23,651900
2019-04-03,143.08,143.6,142.04,143.53,143.53,714500
2019-04-04,143.43,143.43,142.09,143.13,143.13,373900
2019-04-05,142.9,144.07,142.26,143.97,143.97,378800
2019-04-08,144.17,144.46,142.69,143.63,143.63,417100
2019-04-09,143.46,143.69,142.89,143.12,143.12,347400
2019-04-10,143.48,143.92,142.8,143.84,143.84,616500
2019-04-11,143.98,144.31,143.0,143.5,143.5,508000
2019-04-12,143.57,144.35,142.47,144.35,144.35,515400
