Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,102.93,102.97,101.52,102.07,102.07,684400
2019-04-02,102.3,102.3,99.65,100.17,100.17,2501900
2019-04-03,100.36,101.64,99.49,101.51,101.51,827900
2019-04-04,101.7,101.7,100.19,100.64,100.64,541400
2019-04-05,100.65,101.56,100.25,101.53,101.53,598500
2019-04-08,101.41,101.45,100.76,100.92,100.92,453900
2019-04-09,100.91,101.2,100.41,100.58,100.58,430400
2019-04-10,100.79,101.46,100.28,100.43,100.43,433400
2019-04-11,100.46,100.79,100.03,100.69,100.69,429300
2019-04-12,100.41,101.38,99.99,101.19,101.19,404400
