Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,46.5,47.31,46.16,47.12,47.12,9233400
2019-04-02,47.42,47.78,46.2,47.46,47.46,9697700
2019-04-03,47.75,48.6,47.4,47.65,47.65,9741800
2019-04-04,47.68,47.82,46.58,46.96,46.96,6941800
2019-04-05,47.08,47.54,46.68,47.29,47.29,5976900
2019-04-08,47.23,47.63,46.37,47.57,47.57,5563800
2019-04-09,47.19,47.65,46.85,47.01,47.01,5090900
2019-04-10,47.34,47.96,47.15,47.86,47.86,3548000
2019-04-11,48.06,48.24,46.86,47.17,47.17,5198500
2019-04-12,47.4,47.68,46.94,47.28,47.28,3802100
