Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,104.43,104.52,103.01,103.85,103.85,1410200
2019-04-02,104.15,104.31,102.94,103.71,103.71,1149500
2019-04-03,103.6,104.37,102.95,104.03,104.03,1155000
2019-04-04,104.09,104.27,103.4,103.86,103.86,1189400
2019-04-05,103.75,104.97,103.51,104.92,104.92,1054200
2019-04-08,104.7,105.02,103.93,104.14,104.14,775900
2019-04-09,104.0,104.59,103.71,104.57,104.57,699300
2019-04-10,104.86,105.55,103.91,104.03,104.03,774600
2019-04-11,104.04,104.38,103.71,104.32,104.32,863100
2019-04-12,104.05,104.33,103.64,104.16,104.16,965600
