Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,1039.33,1048.53,1018.22,1029.71,1029.71,332400
2019-04-02,1032.0,1044.38,1029.79,1041.98,1041.98,202700
2019-04-03,1046.56,1049.58,1041.84,1045.53,1045.53,187100
2019-04-04,1044.47,1048.87,1033.95,1040.69,1040.69,219200
2019-04-05,1045.0,1049.73,1037.27,1048.52,1048.52,252000
2019-04-08,1048.16,1058.31,1044.0,1052.54,1052.54,290100
2019-04-09,1050.0,1054.41,1037.66,1040.4,1040.4,276700
2019-04-10,1046.88,1062.52,1042.32,1060.17,1060.17,324900
2019-04-11,1063.67,1070.92,1058.73,1068.57,1068.57,261400
2019-04-12,1069.85,1072.22,1055.02,1060.3,1060.3,247400
