Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,46.88,48.09,46.85,48.02,48.02,6699600
2019-04-02,47.95,48.86,47.65,48.49,48.49,6120600
2019-04-03,48.9,49.37,48.19,48.41,48.41,5678000
2019-04-04,48.11,48.68,47.93,48.45,48.45,5199700
2019-04-05,48.4,48.71,48.03,48.37,48.37,4610800
2019-04-08,48.16,48.62,48.08,48.54,48.54,3526300
2019-04-09,48.19,48.39,47.7,47.9,47.9,4418800
2019-04-10,48.0,48.2,47.5,48.11,48.11,3792000
2019-04-11,48.33,48.78,48.2,48.44,48.44,5130800
2019-04-12,49.17,49.68,48.59,49.26,49.26,5335800
