Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,71.36,72.26,71.09,72.09,72.09,2787100
2019-04-02,72.03,72.03,71.12,71.45,71.45,1997700
2019-04-03,71.84,72.78,71.75,72.54,72.54,2347700
2019-04-04,72.48,74.59,72.29,74.57,74.57,2465500
2019-04-05,74.95,75.15,74.33,74.77,74.77,3171600
2019-04-08,74.62,75.29,74.38,74.82,74.82,2236000
2019-04-09,74.5,75.21,74.39,74.75,74.75,1772400
2019-04-10,74.78,75.53,74.21,74.49,74.49,2360600
2019-04-11,74.53,74.54,73.6,73.98,73.98,1771100
2019-04-12,74.12,74.32,73.44,73.57,73.57,1711800
