Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,27.92,28.15,27.64,27.84,27.84,4567200
2019-04-02,27.86,27.93,26.84,26.99,26.99,5730000
2019-04-03,27.18,27.44,26.25,26.47,26.47,5338000
2019-04-04,26.56,26.78,26.18,26.77,26.77,4255900
2019-04-05,26.83,27.14,26.65,26.78,26.78,3982600
2019-04-08,26.85,27.27,26.49,26.82,26.82,4881700
2019-04-09,26.69,26.83,26.38,26.68,26.68,4457700
2019-04-10,26.81,26.98,26.68,26.87,26.87,3018900
2019-04-11,26.84,26.99,26.39,26.66,26.66,2695500
2019-04-12,27.07,27.13,26.33,26.38,26.38,4508600
