Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,239.07,239.46,232.22,232.49,232.49,3504200
2019-04-02,232.35,237.55,232.35,233.27,233.27,3337100
2019-04-03,235.0,235.0,228.5,231.4,231.4,3937400
2019-04-04,231.4,236.8,231.04,235.04,235.04,2629700
2019-04-05,235.47,244.08,235.31,241.72,241.72,3250300
2019-04-08,241.83,243.05,238.38,239.74,239.74,2088000
2019-04-09,239.25,239.25,235.72,237.58,237.58,2146200
2019-04-10,237.65,241.87,235.75,240.28,240.28,1612600
2019-04-11,240.52,240.75,231.05,233.83,233.83,2875600
2019-04-12,235.0,236.79,233.61,234.5,234.5,2001800
