Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,50.8,51.54,50.78,51.46,51.46,3496300
2019-04-02,51.54,51.93,51.32,51.35,51.35,3301000
2019-04-03,51.79,52.11,51.12,51.24,51.24,4972000
2019-04-04,51.41,51.69,51.17,51.45,51.45,5998300
2019-04-05,51.57,51.76,51.02,51.18,51.18,4263700
2019-04-08,50.88,51.33,50.88,51.25,51.25,6959000
2019-04-09,51.06,51.31,50.57,50.99,50.99,3827600
2019-04-10,50.99,51.33,50.68,51.29,51.29,2743100
2019-04-11,51.54,52.0,51.32,51.69,51.69,3857600
2019-04-12,52.5,52.93,52.29,52.81,52.81,4663100
