Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,431.59,439.64,429.4,438.39,438.39,498900
2019-04-02,438.39,440.1,435.47,436.45,436.45,423100
2019-04-03,439.22,442.8,437.31,439.07,439.07,337800
2019-04-04,439.17,442.7,438.92,441.84,441.84,375200
2019-04-05,443.17,446.83,440.61,445.1,445.1,458400
2019-04-08,444.54,447.68,443.1,446.14,446.14,398400
2019-04-09,445.41,445.94,438.52,439.81,439.81,460900
2019-04-10,441.6,442.94,439.17,442.76,442.76,402900
2019-04-11,445.0,448.75,442.87,446.11,446.11,412700
2019-04-12,448.69,457.33,448.69,454.35,454.35,628700
