Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,58.09,58.57,57.85,58.4,58.4,2181600
2019-04-02,58.56,58.63,57.96,57.98,57.98,1640900
2019-04-03,58.17,58.29,57.87,58.02,58.02,2377000
2019-04-04,57.98,58.21,57.76,58.0,58.0,1316800
2019-04-05,57.91,58.35,57.8,58.11,58.11,2416600
2019-04-08,58.04,58.48,57.39,58.2,58.2,1662600
2019-04-09,57.78,57.78,57.44,57.64,57.64,2192000
2019-04-10,57.87,58.47,57.63,58.25,58.25,1910000
2019-04-11,58.3,58.7,58.03,58.62,58.62,1541800
2019-04-12,58.73,58.86,57.97,58.03,58.03,1889500
