Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,48.05,48.1,46.75,47.09,46.68,21242500
2019-04-02,47.12,47.44,46.69,46.7,46.29,15098100
2019-04-03,47.08,47.47,46.34,46.88,46.47,21744000
2019-04-04,46.64,46.74,46.17,46.67,46.67,17925900
2019-04-05,46.88,47.1,46.51,46.64,46.64,16044300
2019-04-08,46.7,46.89,46.53,46.79,46.79,15953300
2019-04-09,46.6,46.67,45.88,45.98,45.98,16073400
2019-04-10,45.98,46.32,45.71,45.89,45.89,13083700
2019-04-11,46.11,46.33,45.43,46.09,46.09,19846100
2019-04-12,46.41,46.42,45.4,45.57,45.57,25363500
