Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,134.12,135.52,133.57,135.46,135.46,1001000
2019-04-02,135.58,137.77,134.27,137.61,137.61,1035900
2019-04-03,138.02,138.61,136.93,138.37,138.37,893500
2019-04-04,138.17,138.69,136.6,137.92,137.92,595000
2019-04-05,137.75,138.44,137.3,138.38,138.38,451200
2019-04-08,138.47,138.49,137.24,138.02,138.02,499100
2019-04-09,137.83,137.87,137.01,137.28,137.28,737400
2019-04-10,137.45,138.45,137.25,138.39,138.39,605700
2019-04-11,138.7,139.41,137.9,138.45,138.45,525900
2019-04-12,138.42,138.42,136.87,137.89,137.89,1226200
