Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,62.85,64.63,62.82,64.36,64.36,17736300
2019-04-02,64.24,64.86,63.92,64.42,64.42,9915800
2019-04-03,64.99,65.35,64.53,65.06,65.06,11560800
2019-04-04,64.81,66.2,64.81,65.82,65.82,11915700
2019-04-05,65.93,66.41,65.19,65.55,65.55,11062400
2019-04-08,65.13,66.1,65.02,66.07,66.07,10466400
2019-04-09,65.6,65.6,64.68,65.2,65.2,10221000
2019-04-10,65.48,65.69,64.78,65.52,65.52,12293300
2019-04-11,65.8,66.44,65.31,65.91,65.91,11358700
2019-04-12,67.08,68.31,66.64,67.42,67.42,19238700
