Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,27.69,27.84,27.46,27.63,27.63,5139800
2019-04-02,27.68,27.7,27.37,27.39,27.39,4813600
2019-04-03,27.2,27.59,27.2,27.47,27.47,5783000
2019-04-04,27.58,27.94,27.52,27.79,27.79,4942600
2019-04-05,27.81,28.3,27.77,28.29,28.29,4497300
2019-04-08,28.24,28.5,28.17,28.3,28.3,5460900
2019-04-09,28.22,28.44,27.46,27.54,27.54,7265800
2019-04-10,27.55,29.69,27.24,29.39,29.39,15149000
2019-04-11,30.0,30.3,29.5,29.78,29.78,6692700
2019-04-12,29.73,30.01,29.63,29.75,29.75,7247800
