Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,48.67,49.19,48.43,49.12,49.12,2249300
2019-04-02,48.09,48.5,47.11,47.16,47.16,3544000
2019-04-03,47.52,48.23,46.58,47.08,47.08,3481200
2019-04-04,47.04,47.18,46.36,46.87,46.87,2218500
2019-04-05,47.07,48.04,47.02,47.49,47.49,2827000
2019-04-08,47.42,47.77,46.92,47.55,47.55,2005300
2019-04-09,47.34,47.6,46.99,47.34,47.34,1799700
2019-04-10,47.43,47.43,46.09,46.94,46.94,3097500
2019-04-11,47.13,47.21,46.2,46.38,46.38,2208900
2019-04-12,46.7,47.3,46.5,46.79,46.79,2524300
