Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,137.69,140.37,136.32,140.25,140.25,5081500
2019-04-02,140.15,140.69,139.23,140.19,140.19,2529000
2019-04-03,139.85,140.55,138.41,139.26,139.26,4821800
2019-04-04,139.14,140.87,139.0,140.13,140.13,2988900
2019-04-05,141.1,141.15,139.92,140.36,140.36,2812300
2019-04-08,140.0,140.12,138.61,139.82,139.82,2497300
2019-04-09,138.65,138.91,136.07,136.35,136.35,3316500
2019-04-10,137.16,138.21,136.28,137.53,137.53,3310600
2019-04-11,137.59,139.59,136.98,138.87,138.87,2762900
2019-04-12,141.0,141.92,139.81,141.2,141.2,4383000
