Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,95.45,96.83,95.0,96.83,96.83,589200
2019-04-02,96.35,97.48,96.27,96.5,96.5,460600
2019-04-03,96.62,97.3,95.67,95.7,95.7,606000
2019-04-04,95.52,96.33,94.3,95.75,95.75,434800
2019-04-05,95.65,96.12,95.05,95.85,95.85,738900
2019-04-08,96.19,96.48,95.35,95.59,95.59,421400
2019-04-09,95.74,96.49,94.58,94.91,94.91,480400
2019-04-10,94.64,96.33,94.03,96.14,96.14,898200
2019-04-11,96.39,96.64,95.35,95.91,95.91,572500
2019-04-12,96.01,97.54,95.98,96.15,96.15,436600
