Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,48.0,48.66,47.9,48.21,48.21,2290100
2019-04-02,48.31,48.39,47.74,47.94,47.94,1284700
2019-04-03,48.2,49.2,47.96,48.81,48.81,2864300
2019-04-04,48.94,49.98,48.73,49.66,49.66,2302900
2019-04-05,49.86,50.4,49.79,50.37,50.37,2286300
2019-04-08,50.16,51.52,50.16,51.39,51.39,3892400
2019-04-09,51.15,51.31,50.77,51.11,51.11,2063100
2019-04-10,51.06,51.69,50.92,51.63,51.63,2421200
2019-04-11,51.74,52.13,51.46,51.56,51.56,2633300
2019-04-12,51.82,52.22,50.91,51.58,51.58,2476400
