Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,51.0,52.2,51.0,52.19,52.19,5004900
2019-04-02,52.05,52.65,51.97,52.37,52.37,4509200
2019-04-03,52.91,53.67,52.85,53.19,53.19,4954100
2019-04-04,53.24,53.3,52.78,53.1,53.1,2296700
2019-04-05,53.11,53.36,52.81,53.07,53.07,3821200
2019-04-08,52.99,53.05,52.32,52.51,52.51,3192100
2019-04-09,52.5,52.69,51.77,51.9,51.9,4108500
2019-04-10,52.19,52.41,51.79,52.27,52.27,2639800
2019-04-11,52.41,52.79,52.18,52.47,52.47,4584200
2019-04-12,52.96,53.58,52.88,53.57,53.57,3395700
