Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,99.48,101.39,99.46,101.23,101.23,845100
2019-04-02,101.67,102.39,101.04,101.81,101.81,864200
2019-04-03,102.71,103.88,102.45,103.2,103.2,892300
2019-04-04,103.69,104.97,103.41,104.9,104.9,1073700
2019-04-05,105.29,106.21,105.08,105.76,105.76,863800
2019-04-08,105.0,105.82,102.46,102.61,102.61,1685100
2019-04-09,101.67,101.97,100.43,101.62,101.62,723600
2019-04-10,102.14,102.22,100.48,101.81,101.81,761200
2019-04-11,102.0,102.7,101.63,102.1,102.1,563300
2019-04-12,103.41,105.36,102.87,105.3,105.3,1479400
