Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,87.62,88.47,87.2,88.3,88.3,695500
2019-04-02,88.59,88.93,87.97,88.49,88.49,1268600
2019-04-03,88.95,90.33,88.5,88.7,88.7,1178100
2019-04-04,88.96,90.33,88.92,89.23,89.23,659300
2019-04-05,89.32,89.92,89.02,89.46,89.46,476200
2019-04-08,89.36,90.0,89.05,89.62,89.62,624200
2019-04-09,89.16,89.43,88.45,89.23,89.23,673100
2019-04-10,89.1,89.1,87.79,88.33,88.33,760600
2019-04-11,88.95,89.87,88.76,89.67,89.67,871300
2019-04-12,90.0,90.97,89.7,90.79,90.79,813200
