Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,162.62,163.09,160.44,161.87,161.87,1894500
2019-04-02,162.45,162.49,158.53,158.62,158.62,2712800
2019-04-03,159.25,161.23,158.0,159.0,159.0,2286400
2019-04-04,159.0,161.66,158.36,161.48,161.48,1703700
2019-04-05,162.65,167.45,162.38,166.13,166.13,3692900
2019-04-08,166.17,167.53,164.65,167.4,167.4,2385400
2019-04-09,166.46,170.89,165.18,169.13,169.13,2742600
2019-04-10,168.44,169.69,166.89,168.2,168.2,2082300
2019-04-11,168.3,168.38,162.36,164.01,164.01,3368000
2019-04-12,164.94,165.0,159.73,160.6,160.6,3592700
