Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,73.88,76.25,73.86,76.08,76.08,2311200
2019-04-02,75.81,77.56,75.53,76.93,76.93,2282400
2019-04-03,78.14,78.97,76.6,76.89,76.89,1904400
2019-04-04,75.29,78.05,75.29,77.46,77.46,2197000
2019-04-05,77.56,78.11,76.54,77.63,77.63,2283000
2019-04-08,77.59,78.6,77.44,78.23,78.23,1837600
2019-04-09,77.75,77.98,76.66,77.14,77.14,1347300
2019-04-10,77.16,77.59,76.09,77.47,77.47,1924200
2019-04-11,77.78,78.95,77.4,78.08,78.08,2159200
2019-04-12,79.49,80.62,78.66,80.33,80.33,2358200
