Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,165.66,166.79,164.75,166.55,166.55,1346700
2019-04-02,166.96,168.48,166.1,168.07,168.07,1473700
2019-04-03,168.27,170.61,167.82,168.44,168.44,1767300
2019-04-04,167.81,169.59,167.81,169.36,169.36,1270600
2019-04-05,169.7,170.6,168.99,170.09,170.09,1668100
2019-04-08,170.03,172.56,169.35,172.39,172.39,1630300
2019-04-09,171.48,172.48,169.4,170.76,170.76,1639600
2019-04-10,170.76,171.15,169.37,170.06,170.06,1596900
2019-04-11,170.77,171.5,170.05,170.54,170.54,1081900
2019-04-12,172.15,173.6,171.86,172.92,172.92,1528200
