Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,159.68,162.6,159.35,162.33,162.33,1436600
2019-04-02,162.51,163.79,161.63,161.83,161.83,986400
2019-04-03,162.19,162.77,160.97,161.45,161.45,640700
2019-04-04,160.95,163.64,160.43,163.43,163.43,801600
2019-04-05,163.5,164.43,162.93,163.27,163.27,948600
2019-04-08,163.0,163.56,162.16,163.19,163.19,534300
2019-04-09,162.16,162.86,160.26,161.71,161.71,911300
2019-04-10,162.32,163.2,161.24,162.54,162.54,545800
2019-04-11,162.68,165.0,162.08,164.56,164.56,613800
2019-04-12,165.6,166.8,164.71,166.07,166.07,991000
