Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,55.54,55.6,54.68,54.99,54.99,3074000
2019-04-02,55.08,55.21,54.67,54.9,54.9,3251700
2019-04-03,54.89,55.1,54.34,54.86,54.86,2133500
2019-04-04,54.94,55.1,54.08,54.57,54.57,2128000
2019-04-05,54.64,55.11,54.39,55.11,55.11,1657200
2019-04-08,55.07,55.07,54.32,54.34,54.34,2022700
2019-04-09,54.24,54.66,54.24,54.62,54.62,1866300
2019-04-10,54.92,55.3,54.31,54.39,54.39,1702000
2019-04-11,54.83,54.98,54.29,54.93,54.93,2993700
2019-04-12,54.76,55.03,54.45,54.98,54.98,1935100
