Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,53.67,54.27,53.06,54.16,54.16,6150900
2019-04-02,54.88,54.88,53.32,53.69,53.69,7161000
2019-04-03,54.0,54.61,53.16,53.37,53.37,6392800
2019-04-04,53.44,54.08,53.3,53.56,53.56,5019200
2019-04-05,53.77,56.15,53.52,55.84,55.84,10474500
2019-04-08,55.84,56.72,55.21,56.64,56.64,8552900
2019-04-09,56.37,58.25,56.0,57.88,57.88,10971700
2019-04-10,58.16,58.17,56.86,57.29,57.29,9565400
2019-04-11,57.42,57.9,55.03,55.13,55.13,8799000
2019-04-12,55.32,55.45,52.36,52.92,52.92,10855400
