Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,11.29,11.4,11.22,11.28,11.28,20151100
2019-04-02,11.19,11.28,11.13,11.25,11.25,14645200
2019-04-03,11.27,11.3,11.16,11.19,11.19,10697400
2019-04-04,11.22,11.32,11.13,11.3,11.3,9710900
2019-04-05,11.32,11.32,11.23,11.26,11.26,7000400
2019-04-08,11.28,11.29,11.24,11.29,11.29,6393800
2019-04-09,11.29,11.29,11.19,11.21,11.21,7676200
2019-04-10,11.21,11.24,11.08,11.17,11.17,9640000
2019-04-11,11.18,11.22,11.13,11.18,11.18,9349300
2019-04-12,11.1,11.29,11.08,11.2,11.2,12208700
