Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,45.96,47.18,45.96,47.14,47.14,2768200
2019-04-02,46.98,46.98,46.38,46.63,46.63,2069600
2019-04-03,46.94,47.34,46.54,46.95,46.95,1571900
2019-04-04,47.77,49.38,47.53,49.31,49.31,3335100
2019-04-05,49.43,49.86,47.95,48.09,48.09,2888100
2019-04-08,49.18,49.32,48.45,48.86,48.86,3064800
2019-04-09,48.71,48.79,47.86,48.55,48.55,2031800
2019-04-10,48.61,49.89,48.22,49.83,49.83,4144200
2019-04-11,49.98,50.0,47.96,48.06,48.06,2202900
2019-04-12,48.34,48.86,47.75,48.46,48.46,2290000
