Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,60.96,62.31,60.96,62.18,62.18,1544600
2019-04-02,62.22,63.42,62.22,63.16,63.16,1638600
2019-04-03,63.41,64.08,63.15,63.73,63.73,1237100
2019-04-04,63.76,63.88,62.94,62.99,62.99,1091700
2019-04-05,63.07,63.97,62.66,63.95,63.95,1521000
2019-04-08,63.92,64.67,63.88,64.64,64.64,1685100
2019-04-09,64.49,64.64,64.06,64.24,64.24,1357900
2019-04-10,64.5,65.56,64.06,64.27,64.27,2669900
2019-04-11,64.39,64.93,64.22,64.89,64.89,613300
2019-04-12,65.14,65.4,64.83,65.37,65.37,580400
