Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,160.1,161.68,158.51,161.18,161.18,4601100
2019-04-02,160.86,160.99,158.91,160.51,160.51,3158400
2019-04-03,161.78,163.14,160.65,162.62,162.62,3819800
2019-04-04,162.71,162.8,155.83,158.52,158.52,6295200
2019-04-05,159.63,160.24,158.02,158.56,158.56,4315300
2019-04-08,158.4,158.79,156.45,158.47,158.47,2848400
2019-04-09,157.04,158.35,156.65,156.97,156.97,5642900
2019-04-10,158.2,160.38,157.65,160.24,160.24,3414700
2019-04-11,160.16,160.83,159.02,160.73,160.73,2578400
2019-04-12,162.0,162.5,159.5,160.71,160.71,2844200
