Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,54.48,55.02,54.39,54.98,54.63,19741700
2019-04-02,55.0,55.41,54.97,55.29,54.94,17264000
2019-04-03,55.46,55.8,55.07,55.63,55.28,21110400
2019-04-04,55.37,55.68,54.86,55.14,55.14,16412100
2019-04-05,55.25,55.61,55.13,55.21,55.21,13817500
2019-04-08,55.2,55.56,54.79,55.49,55.49,13862800
2019-04-09,55.08,55.42,54.86,55.18,55.18,15508400
2019-04-10,55.11,55.84,55.11,55.82,55.82,13460200
2019-04-11,55.93,55.95,55.31,55.6,55.6,13186000
2019-04-12,55.93,56.36,55.79,56.29,56.29,14331700
