Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,75.35,76.78,75.13,76.7,76.7,4763600
2019-04-02,76.92,77.15,76.12,76.18,76.18,3603600
2019-04-03,76.32,76.59,75.09,75.22,75.22,7191900
2019-04-04,75.03,75.24,74.59,74.8,74.8,7786300
2019-04-05,74.76,75.25,74.18,74.42,74.42,4410500
2019-04-08,74.54,75.74,74.37,75.62,75.62,4186400
2019-04-09,75.09,75.32,74.11,74.69,74.69,4356400
2019-04-10,74.83,75.25,74.25,75.07,75.07,2555700
2019-04-11,75.22,75.51,74.88,75.4,75.4,2000700
2019-04-12,75.79,76.82,75.54,76.66,76.66,3720600
