Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,204.21,205.36,203.34,204.98,204.98,515600
2019-04-02,205.19,206.35,204.68,206.09,206.09,397300
2019-04-03,206.81,208.1,206.3,207.39,207.39,407600
2019-04-04,208.15,208.15,204.74,205.34,205.34,280000
2019-04-05,206.14,207.57,205.44,206.37,206.37,219900
2019-04-08,205.41,206.54,203.76,206.31,206.31,340100
2019-04-09,205.21,206.58,204.26,204.73,204.73,300500
2019-04-10,204.97,205.76,203.46,204.97,204.97,274100
2019-04-11,205.04,205.72,203.48,205.47,205.47,320500
2019-04-12,206.38,207.5,203.96,207.4,207.4,409400
