Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,12.07,12.43,12.06,12.37,12.37,12138300
2019-04-02,12.39,12.54,12.12,12.13,12.13,13310400
2019-04-03,12.25,12.4,12.24,12.37,12.37,8722700
2019-04-04,12.37,12.52,12.37,12.39,12.39,6916900
2019-04-05,12.42,12.69,12.41,12.55,12.55,16273700
2019-04-08,12.51,12.57,12.37,12.53,12.53,8558400
2019-04-09,12.44,12.45,12.31,12.39,12.39,7873100
2019-04-10,12.41,12.57,12.33,12.55,12.55,8055100
2019-04-11,12.55,12.71,12.47,12.59,12.59,7849600
2019-04-12,12.63,12.63,12.1,12.12,12.12,11889900
