Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,100.0,100.9,99.01,99.69,99.69,3001000
2019-04-02,99.7,100.25,99.11,100.13,100.13,2385000
2019-04-03,100.49,107.15,99.6,102.48,102.48,7862300
2019-04-04,102.67,103.16,99.23,100.01,100.01,3839800
2019-04-05,100.33,101.39,100.01,100.98,100.98,2256700
2019-04-08,100.68,101.62,100.35,100.93,100.93,1654600
2019-04-09,100.78,101.7,100.21,101.35,101.35,1544600
2019-04-10,101.42,102.19,101.15,101.56,101.56,1376800
2019-04-11,101.86,102.05,101.13,101.91,101.91,1173700
2019-04-12,102.0,102.83,101.26,102.27,102.27,1337800
