Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,54.16,54.34,53.45,54.19,54.19,10790100
2019-04-02,52.68,52.92,51.77,52.13,52.13,22104400
2019-04-03,52.42,53.07,52.32,52.79,52.79,17437400
2019-04-04,52.88,53.46,52.8,53.4,53.4,11058000
2019-04-05,53.61,54.2,53.51,54.06,54.06,10002100
2019-04-08,53.96,54.49,53.74,54.15,54.15,8374100
2019-04-09,54.1,54.33,53.45,53.72,53.72,9275800
2019-04-10,53.7,53.89,53.04,53.87,53.87,11853400
2019-04-11,53.98,54.37,52.47,52.69,52.69,11354700
2019-04-12,52.95,53.29,52.58,52.81,52.81,10024700
