Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,71.73,73.67,71.73,73.5,73.5,1749000
2019-04-02,73.54,74.13,73.15,73.78,73.78,1432200
2019-04-03,74.19,74.73,73.69,73.98,73.98,1217800
2019-04-04,73.98,74.88,73.87,74.23,74.23,1768400
2019-04-05,74.43,75.0,74.2,74.95,74.95,1546700
2019-04-08,74.62,74.87,74.23,74.81,74.81,1126400
2019-04-09,74.38,74.6,73.87,74.17,74.17,1079600
2019-04-10,74.32,74.63,74.04,74.53,74.53,1119400
2019-04-11,74.76,75.16,74.2,74.87,74.87,1131500
2019-04-12,75.55,76.52,75.55,76.21,76.21,1309400
